Species,Species3,Tree.name
Rufous-winged Fulvetta,Alcippe castaneceps,Alcippe_castaneceps
Gray-throated Babbler,Stachyris nigriceps,Stachyris_nigriceps
Pin-striped Tit-Babbler,Macronous gularis,Macronous_gularis
Puff-throated Babbler,Pellorneum ruficeps,Pellorneum_ruficeps
Yellow-vented Warbler,Phylloscopus cantator,Phylloscopus_cantator
Black-tailed Crake,Amaurornis bicolor,Amaurornis_bicolor
Blue-winged Minla,Minla cyanouroptera,Minla_cyanouroptera
Blyth's Shrike-Babbler,Pteruthius aeralatus,Pteruthius_flaviscapis
Gray Bushchat,Saxicola ferreus,Saxicola_ferreus
Gray-headed Canary-Flycatcher,Culicicapa ceylonensis,Culicicapa_ceylonensis
Mrs. Gould's Sunbird,Aethopyga gouldiae,Aethopyga_gouldiae
Nepal Fulvetta,Alcippe nipalensis,Alcippe_nipalensis
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,Dendrocopos_hyperythrus
Russet Sparrow,Passer rutilans,Passer_rutilans
Sikkim Treecreeper,Certhia discolor,Certhia_discolor
White-tailed Nuthatch,Sitta himalayensis,Sitta_himalayensis
Eurasian Wren,Troglodytes troglodytes,Troglodytes_troglodytes
Golden Bush-Robin,Tarsiger chrysaeus,Tarsiger_chrysaeus
Grandala,Grandala coelicolor,Grandala_coelicolor
Gray-sided Bush Warbler,Cettia brunnifrons,Cettia_brunnifrons
Himalayan Buzzard,Buteo buteo,Buteo_buteo
Nepal House-Martin,Delichon nipalense,Delichon_nipalense
Plain Mountain Finch,Leucosticte nemoricola,Leucosticte_nemoricola
Rosy Pipit,Anthus roseatus,Anthus_roseatus
Snow Partridge,Lerwa lerwa,Lerwa_lerwa
Himalayan Bulbul,Pycnonotus leucogenys,Pycnonotus_leucogenys
Himalayan Cuckoo,Cuculus saturatus,Cuculus_saturatus
Large-billed Leaf Warbler,Phylloscopus magnirostris,Phylloscopus_magnirostris
Lesser Shortwing,Brachypteryx leucophrys,Brachypteryx_leucophrys
Oriental Turtle-Dove,Streptopelia orientalis,Streptopelia_orientalis
Rufous Sibia,Heterophasia capistrata,Heterophasia_capistrata
Scarlet Finch,Haematospiza sipahi,Haematospiza_sipahi
Speckled Wood-Pigeon,Columba hodgsonii,Columba_hodgsonii
Blue-bearded Bee-eater,Nyctyornis athertoni,Nyctyornis_athertoni
Large Niltava,Niltava grandis,Niltava_grandis
Lineated Barbet,Megalaima lineata,Megalaima_lineata
Oriental Pied-Hornbill,Anthracoceros albirostris,Anthracoceros_albirostris
Pale Blue Flycatcher,Cyornis unicolor,Cyornis_unicolor
White-rumped Shama,Copsychus malabaricus,Copsychus_malabaricus
Oriental Scops-Owl,Otus sunia,Otus_sunia
Spot-bellied Eagle-Owl,Bubo nipalensis,Bubo_nipalensis
Abbott's Babbler,Malacocincla abbotti,Malacocincla_abbotti
Greater Necklaced Laughingthrush,Garrulax pectoralis,Garrulax_pectoralis
Greater Yellownape,Picus flavinucha,Picus_flavinucha
Red Junglefowl,Gallus gallus,Gallus_gallus
Asian Emerald Dove,Chalcophaps indica,Chalcophaps_indica
Black-crested Bulbul,Pycnonotus melanicterus,Pycnonotus_melanicterus
Common Green-Magpie,Cissa chinensis,Cissa_chinensis
Eurasian Kestrel,Falco tinnunculus,Falco_tinnunculus
Oriental Magpie-Robin,Copsychus saularis,Copsychus_saularis
Speckled Piculet,Picumnus innominatus,Picumnus_innominatus
Black-backed Forktail,Enicurus immaculatus,Enicurus_immaculatus
Brown Shrike,Lanius cristatus,Lanius_cristatus
Common Myna,Acridotheres tristis,Acridotheres_tristis
Greater Racket-tailed Drongo,Dicrurus paradiseus,Dicrurus_paradiseus
Striated Grassbird,Megalurus palustris,Megalurus_palustris
White-rumped Munia,Lonchura striata,Lonchura_striata
Common Tailorbird,Orthotomus sutorius,Orthotomus_sutorius
Ibisbill,Ibidorhyncha struthersii,Ibidorhyncha_struthersii
Pale-chinned Blue Flycatcher,Cyornis poliogenys,Cyornis_poliogenys
Pied Kingfisher,Ceryle rudis,Ceryle_rudis
Red-flanked Bluetail,Tarsiger cyanurus,Tarsiger_cyanurus
Red-wattled Lapwing,Vanellus indicus,Vanellus_indicus
Rufous-gorgeted Flycatcher,Ficedula strophiata,Ficedula_strophiata
Whiskered Yuhina,Yuhina flavicollis,Yuhina_flavicollis
White-cheeked Partridge,Arborophila atrogularis,Arborophila_atrogularis
Barred Cuckoo-Dove,Macropygia unchall,Macropygia_unchall
Striated Yuhina,Yuhina castaniceps,Yuhina_castaniceps
Scarlet Minivet,Pericrocotus flammeus,Pericrocotus_flammeus
Barn Swallow,Hirundo rustica,Hirundo_rustica
Rufous-bellied Niltava,Niltava sundara,Niltava_sundara
Gray-chinned Minivet,Pericrocotus solaris,Pericrocotus_solaris
Gray-headed Parrotbill,Paradoxornis gularis,Paradoxornis_gularis
Rufous-faced Warbler,Abroscopus albogularis,Abroscopus_albogularis
White-collared Blackbird,Turdus albocinctus,Turdus_albocinctus
Blue-fronted Redstart,Phoenicurus frontalis,Phoenicurus_frontalis
Black-chinned Yuhina,Yuhina nigrimenta,Yuhina_nigrimenta
White-breasted Parrotbill,Paradoxornis ruficeps,Paradoxornis_ruficeps
Yellow-bellied Warbler,Abroscopus superciliaris,Abroscopus_superciliaris
Cattle Egret,Bubulcus ibis,Bubulcus_ibis
Gray-backed Shrike,Lanius tephronotus,Lanius_tephronotus
Gray-headed Woodpecker,Picus canus,Picus_canus
Little Spiderhunter,Arachnothera longirostra,Arachnothera_longirostra
Mountain Imperial-Pigeon,Ducula badia,Ducula_badia
Long-tailed Broadbill,Psarisomus dalhousiae,Psarisomus_dalhousiae
Indochinese Roller,Coracias benghalensis,Coracias_benghalensis
Gray Treepie,Dendrocitta formosae,Dendrocitta_formosae
Pied Falconet,Microhierax melanoleucos,Microhierax_melanoleucos
Red-whiskered Bulbul,Pycnonotus jocosus,Pycnonotus_jocosus
Rufous-throated Fulvetta,Alcippe rufogularis,Alcippe_rufogularis
Hodgson's Redstart,Phoenicurus hodgsoni,Phoenicurus_hodgsoni
Oriental Honey-buzzard,Pernis ptilorhyncus,Pernis_ptilorhyncus
Buff-chested Babbler,Stachyris rufifrons,Stachyris_rufifrons
Chestnut Munia,Lonchura atricapilla,Lonchura_atricapilla
Dollarbird,Eurystomus orientalis,Eurystomus_orientalis
Large Cuckooshrike,Coracina macei,Coracina_macei
Rufous-necked Laughingthrush,Garrulax ruficollis,Garrulax_ruficollis
Spotted Bush Warbler,Bradypterus thoracicus,Bradypterus_thoracicus
Thick-billed Warbler,Acrocephalus aedon,Acrocephalus_aedon
Yellow-bellied Prinia,Prinia flaviventris,Prinia_flaviventris
Asian Openbill,Anastomus oscitans,Anastomus_oscitans
Chestnut-tailed Starling,Sturnus malabaricus,Sturnus_malabaricus
Thick-billed Green-Pigeon,Treron curvirostra,Treron_curvirostra
Velvet-fronted Nuthatch,Sitta frontalis,Sitta_frontalis
Barn Owl,Tyto alba,Tyto_alba
Blyth's Swift,Apus pacificus,Apus_pacificus
Gray-throated Martin,Riparia paludicola,Riparia_paludicola
Great Myna,Acridotheres grandis,Acridotheres_grandis
Indian Cuckoo,Cuculus micropterus,Cuculus_micropterus
Square-tailed Drongo-Cuckoo,Surniculus lugubris,Surniculus_lugubris
Bar-winged Flycatcher-shrike,Hemipus picatus,Hemipus_picatus
Black-eared Shrike-Babbler,Pteruthius melanotis,Pteruthius_melanotis
Black-naped Monarch,Hypothymis azurea,Hypothymis_azurea
Blue-throated Flycatcher,Cyornis rubeculoides,Cyornis_rubeculoides
Blyth's Paradise-Flycatcher,Terpsiphone paradisi,Terpsiphone_paradisi
Greenish Warbler,Phylloscopus trochiloides,Phylloscopus_trochiloides
Lesser Yellownape,Picus chlorolophus,Picus_chlorolophus
Mountain Tailorbird,Orthotomus cuculatus,Orthotomus_cuculatus
Ruby-cheeked Sunbird,Anthreptes singalensis,Anthreptes_singalensis
White-bellied Erpornis,Erpornis zantholeuca,Erpornis_zantholeuca
Black Eagle,Ictinaetus malayensis,Ictinaetus_malayensis
Blue Rock-Thrush,Monticola solitarius,Monticola_solitarius
Crested Goshawk,Accipiter trivirgatus,Accipiter_trivirgatus
Hill Blue Flycatcher,Cyornis banyumas,Cyornis_banyumas
Blue-naped Pitta,Pitta nipalensis,Pitta_nipalensis
Collared Owlet,Glaucidium brodiei,Glaucidium_brodiei
Common Rosefinch,Carpodacus erythrinus,Carpodacus_erythrinus
Himalayan Cutia,Cutia nipalensis,Cutia_nipalensis
Large Hawk-Cuckoo,Cuculus sparverioides,Cuculus_sparverioides
Long-billed Wren-Babbler,Rimator malacoptilus,Rimator_malacoptilus
Black-throated Parrotbill,Paradoxornis nipalensis,Paradoxornis_nipalensis
Blue-fronted Robin,Cinclidium frontale,Cinclidium_frontale
Golden-breasted Fulvetta,Alcippe chrysotis,Alcippe_chrysotis
Ward's Trogon,Harpactes wardi,Harpactes_wardi
Chestnut-headed Tesia,Tesia castaneocoronata,Tesia_castaneocoronata
Little Bunting,Emberiza pusilla,Emberiza_pusilla
Rufous-throated Wren-Babbler,Spelaeornis caudatus,Spelaeornis_caudatus
Sikkim Wedge-billed Babbler,Sphenocichla humei,Sphenocichla_humei
Chestnut-bellied Rock-Thrush,Monticola rufiventris,Monticola_rufiventris
Darjeeling Woodpecker,Dendrocopos darjellensis,Dendrocopos_darjellensis
Short-billed Minivet,Pericrocotus brevirostris,Pericrocotus_brevirostris
Stripe-throated Yuhina,Yuhina gularis,Yuhina_gularis
Whistler's Warbler,Seicercus whistleri,Seicercus_whistleri
Yellow-browed Tit,Sylviparus modestus,Sylviparus_modestus
Fire-tailed Sunbird,Aethopyga ignicauda,Aethopyga_ignicauda
Himalayan Griffon,Gyps himalayensis,Gyps_himalayensis
Himalayan Monal,Lophophorus impejanus,Lophophorus_impejanus
Red-billed Chough,Pyrrhocorax pyrrhocorax,Pyrrhocorax_pyrrhocorax
Rufous-vented Tit,Parus rubidiventris,Parus_rubidiventris
White-throated Redstart,Phoenicurus schisticeps,Phoenicurus_schisticeps
Crested Bunting,Melophus lathami,Melophus_lathami
Long-billed Plover,Charadrius placidus,Charadrius_placidus
Brown Wood-Owl,Strix leptogrammica,Strix_leptogrammica
Hodgson's Frogmouth,Batrachostomus hodgsoni,Batrachostomus_hodgsoni
Mountain Scops-Owl,Otus spilocephalus,Otus_spilocephalus
Bar-winged Wren-Babbler,Spelaeornis troglodytoides,Spelaeornis_troglodytoides
Blyth's Tragopan,Tragopan blythii,Tragopan_blythii
Brown-throated Fulvetta,Alcippe ludlowi,Alcippe_ludlowi
Eurasian Nutcracker,Nucifraga caryocatactes,Nucifraga_caryocatactes
Maroon-backed Accentor,Prunella immaculata,Prunella_immaculata
Sclater's Monal,Lophophorus sclateri,Lophophorus_sclateri
Fulvous-breasted Woodpecker,Dendrocopos macei,Dendrocopos_macei
Spot-throated Babbler,Pellorneum albiventre,Pellorneum_albiventre
Red-billed Scimitar-Babbler,Pomatorhinus ochraceiceps,Pomatorhinus_ochraceiceps
Snow Pigeon,Columba leuconota,Columba_leuconota
White-winged Redstart,Phoenicurus erythrogastrus,Phoenicurus_erythrogastrus
Black-throated Thrush,Turdus ruficollis,Turdus_ruficollis
Gray-headed Bullfinch,Pyrrhula erythaca,Pyrrhula_erythaca
Scaly-breasted Cupwing,Pnoepyga albiventer,Pnoepyga_albiventer
Rufous-breasted Accentor,Prunella strophiata,Prunella_strophiata
Yellow-billed Blue-Magpie,Urocissa flavirostris,Urocissa_flavirostris
Black-faced Warbler,Abroscopus schisticeps,Abroscopus_schisticeps
Bugun Liocichla,Liocichla bugunorum,Liocichla_bugunorum
Himalayan Bluetail,Tarsiger cyanurus,Tarsiger_cyanurus
Rusty-flanked Treecreeper,Certhia nipalensis,Certhia_nipalensis
White-browed Bush-Robin,Tarsiger indicus,Tarsiger_indicus
Streak-throated Barwing,Actinodura waldeni,Actinodura_waldeni
Fire-tailed Myzornis,Myzornis pyrrhoura,Myzornis_pyrrhoura
White-throated Laughingthrush,Garrulax albogularis,Garrulax_albogularis
Himalayan Owl,Strix aluco,Strix_aluco
Brown Bullfinch,Pyrrhula nipalensis,Pyrrhula_nipalensis
Dark-breasted Rosefinch,Carpodacus nipalensis,Carpodacus_nipalensis
Red-headed Bullfinch,Pyrrhula erythrocephala,Pyrrhula_erythrocephala
Red-billed Leiothrix,Leiothrix lutea,Leiothrix_lutea
Scaly-breasted Munia,Lonchura punctulata,Lonchura_punctulata
Beautiful Nuthatch,Sitta formosa,Sitta_formosa
Rufous-backed Sibia,Heterophasia annectens,Heterophasia_annectens
Gray Wagtail,Motacilla cinerea,Motacilla_cinerea
Dusky Warbler,Phylloscopus fuscatus,Phylloscopus_fuscatus
Greater Coucal,Centropus sinensis,Centropus_sinensis
Rufous Treepie,Dendrocitta vagabunda,Dendrocitta_vagabunda
Two-barred Warbler,Phylloscopus trochiloides,Phylloscopus_trochiloides
Green-billed Malkoha,Phaenicophaeus tristis,Phaenicophaeus_tristis
Long-tailed Shrike,Lanius schach,Lanius_schach
Richard's Pipit,Anthus richardi,Anthus_richardi
Lesser Coucal,Centropus bengalensis,Centropus_bengalensis
Collared Treepie,Dendrocitta frontalis,Dendrocitta_frontalis
Oriental Hobby,Falco severus,Falco_severus
White-tailed Flycatcher,Cyornis concretus,Cyornis_concretus
Gray Peacock-Pheasant,Polyplectron bicalcaratum,Polyplectron_bicalcaratum
Streaked Wren-Babbler,Napothera brevicaudata,Napothera_brevicaudata
Collared Scops-Owl,Otus lettia,Otus_lettia
Tawny Fish-Owl,Ketupa flavipes,Ketupa_flavipes
Brown Hornbill,Anorrhinus austeni,Anorrhinus_austeni
Large Scimitar-Babbler,Pomatorhinus hypoleucos,Pomatorhinus_hypoleucos
Greater Flameback,Chrysocolaptes lucidus,Chrysocolaptes_lucidus
Bank Swallow,Riparia riparia,Riparia_riparia
Green Sandpiper,Tringa ochropus,Tringa_ochropus
White-browed Piculet,Sasia ochracea,Sasia_ochracea
Collared Grosbeak,Mycerobas affinis,Mycerobas_affinis
Himalayan White-browed Rosefinch,Carpodacus thura,Carpodacus_thura
Broad-billed Warbler,Tickellia hodgsoni,Tickellia_hodgsoni
Scaly Laughingthrush,Garrulax subunicolor,Garrulax_subunicolor
Ruddy Shelduck,Tadorna ferruginea,Tadorna_ferruginea
Indian Pond-Heron,Ardeola grayii,Ardeola_grayii
Green Imperial-Pigeon,Ducula aenea,Ducula_aenea
Yellow-browed Warbler,Phylloscopus inornatus,Phylloscopus_inornatus
Chestnut Thrush,Turdus rubrocanus,Turdus_rubrocanus
Ashy Wood-Pigeon,Columba pulchricollis,Columba_pulchricollis
Yellow-throated Fulvetta,Alcippe cinerea,Alcippe_cinerea
Coral-billed Scimitar-Babbler,Pomatorhinus ferruginosus,Pomatorhinus_ferruginosus
Red-faced Liocichla,Liocichla phoenicea,Liocichla_phoenicea
Crimson-breasted Woodpecker,Dendrocopos cathpharius,Dendrocopos_cathpharius
Black Drongo,Dicrurus macrocercus,Dicrurus_macrocercus
House Sparrow,Passer domesticus,Passer_domesticus
Jungle Myna,Acridotheres fuscus,Acridotheres_fuscus
White-breasted Waterhen,Amaurornis phoenicurus,Amaurornis_phoenicurus
Black-rumped Flameback,Dinopium benghalense,Dinopium_benghalense
Chestnut-breasted Partridge,Arborophila mandellii,Arborophila_mandellii
Gray Nightjar,Caprimulgus indicus,Caprimulgus_indicus
White-spectacled Warbler,Seicercus affinis,Seicercus_affinis
Blue-eared Kingfisher,Alcedo meninting,Alcedo_meninting
Gadwall,Anas strepera,Anas_strepera
Yellow-rumped Honeyguide,Indicator xanthonotus,Indicator_xanthonotus
Blue-capped Rock-Thrush,Monticola cinclorhynchus,Monticola_cinclorhynchus
Coal Tit,Parus ater,Parus_ater
Dark-sided Flycatcher,Muscicapa sibirica,Muscicapa_sibirica
White-throated Needletail,Hirundapus caudacutus,Hirundapus_caudacutus
Eurasian Hoopoe,Upupa epops,Upupa_epops
Shikra,Accipiter badius,Accipiter_badius
Asian House-Martin,Delichon dasypus,Delichon_dasypus
Black-faced Laughingthrush,Garrulax affinis,Garrulax_affinis
Spotted Laughingthrush,Garrulax ocellatus,Garrulax_ocellatus
Eurasian Wigeon,Anas penelope,Anas_penelope
Hodgson's Treecreeper,Certhia hodgsoni,Certhia_hodgsoni
Alpine Accentor,Prunella collaris,Prunella_collaris
Alpine Thrush,Zoothera mollissima,Zoothera_mollissima
Black-browed Tit,Aegithalos iouschistos,Aegithalos_iouschistos
Ultramarine Flycatcher,Ficedula superciliaris,Ficedula_superciliaris
Jerdon's Baza,Aviceda jerdoni,Aviceda_jerdoni
Crimson-browed Finch,Pinicola subhimachala,Pinicola_subhimachala
Rufous-breasted Bush-Robin,Tarsiger hyperythrus,Tarsiger_hyperythrus
Rufous-throated Partridge,Arborophila rufogularis,Arborophila_rufogularis
Cinereous Tit,Parus major,Parus_major
Green Bee-eater,Merops orientalis,Merops_orientalis
Little Ringed Plover,Charadrius dubius,Charadrius_dubius
Gray Heron,Ardea cinerea,Ardea_cinerea
Great Thick-knee,Esacus recurvirostris,Esacus_recurvirostris
Mallard,Anas platyrhynchos,Anas_platyrhynchos
Small Pratincole,Glareola lactea,Glareola_lactea
Great Crested Grebe,Podiceps cristatus,Podiceps_cristatus
Indian Spot-billed Duck,Anas poecilorhyncha,Anas_poecilorhyncha
Large Woodshrike,Tephrodornis gularis,Tephrodornis_gularis
Black-breasted Parrotbill,Paradoxornis flavirostris,Paradoxornis_flavirostris
Streak-throated Fulvetta,Alcippe manipurensis,Alcippe_manipurensis
Asian Koel,Eudynamys scolopaceus,Eudynamys_scolopaceus
Kalij Pheasant,Lophura leucomelanos,Lophura_leucomelanos
Rock Pigeon,Columba livia,Columba_livia
Gray-crested Tit,Parus dichrous,Parus_dichrous
Slaty-backed Flycatcher,Ficedula hodgsonii,Ficedula_hodgsonii
Slender-billed Scimitar-Babbler,Xiphirhynchus superciliaris,Xiphirhynchus_superciliaris
Slaty-blue Flycatcher,Ficedula tricolor,Ficedula_tricolor
Spotted Forktail,Enicurus maculatus,Enicurus_maculatus
Goldcrest,Regulus regulus,Regulus_regulus
White-browed Tit-Warbler,Leptopoecile sophiae,Leptopoecile_sophiae
White-winged Grosbeak,Mycerobas carnipes,Mycerobas_carnipes
Blood Pheasant,Ithaginis cruentus,Ithaginis_cruentus
Paddyfield Pipit,Anthus rufulus,Anthus_rufulus
Pygmy Flycatcher,Muscicapella hodgsoni,Muscicapella_hodgsoni
