"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",1,139,139,140.22,321.4,195.94625,424.63,-182.3,-285.63,-55.89625
"Large-billed Crow",0,140.6,139,173,155.4,142,250.7775,-9.5,-108.50625,26.15125
"Long-tailed Minivet",2,664.75,456.08,779.85,125,112,142.6,535.35,329.62,656.75
"Plumbeous Redstart",2,906,810.825,1178,247,183.75,310.4,684.9,557.99,961.6025
"White-capped Redstart",2,960,955.8,1668.20375,232,178.165,299.32125,767.7,682.7775,1455.22625
"Ashy-throated Warbler",2,1642.5,1343.18125,1741.8675,882.6,847.24375,1110,745.025,433.73,890.61
"Fire-breasted Flowerpecker",0,638.6,537.1,849.15,688.95,508.7,836.00125,-8.85000000000008,-220.2275,214.6575
"Green-backed Tit",2,1026,1001.14625,1090.26375,903,853.195,968.03125,123.85,53,209.67375
"Indian White-eye",0,199,179,241.805,153.9,140.7,229.31375,38.85,-40,91.335
"Lemon-rumped Warbler",2,1402,1044.55,1681.33,489,489,556.38375,911.725,516.53375,1192.33
"Chestnut-tailed Minla",2,1624.375,1364,1739,1304.4,1301,1403.65,306.925,52.1337500000003,438
"Green-tailed Sunbird",2,1739,1736,1739,885.275,709,969.25,853.375,769.75,1030
"Rufous-capped Babbler",2,595,580.2925,595,258,250,489,337,106,345
"Rufous-vented Yuhina",2,1739,1739,1739,849,604,919.25,890,819.75,1135
"Blue-throated Barbet",1,46,44,48.6,109.875,89.4,116.805,-63.3,-70.805,-42.5975
"Bronzed Drongo",2,197,143.25,257.81,140.35,125,142,56.55,3.25,122.4025
"Chestnut-bellied Nuthatch",2,251.225,180.15,317,141.95,124.99125,171.02,111.1,36.45,185.41375
"Common Hill Myna",0,100,90.9,125.3075,111.55,89.18,123.35125,-6.25,-27.1025,22.7825
"Maroon Oriole",2,480,422.4775,617.33125,125,110,142,354.65,293.795,492.25
"Rusty-fronted Barwing",2,1111.65,1084,1199,489,489,491.7,622.65,588.9125,710
"Streaked Spiderhunter",2,379.8,262.6,479.025,133.35,125,142,249.15,124.6,349.94
"White-throated Bulbul",2,210.55,181.7,280,142,125,142,74.85,41.98125,140.71375
"Blue Whistling-Thrush",2,695,659,756,331,295.45875,441.50625,354.85,248.995,435.2225
"White Wagtail",2,195.4,143.35,199.7075,112,109.89375,125.1025,81.2,31.35,89.35125
"White-throated Kingfisher",1,44,44,46.05,68.025,45.4,81.205,-23.85,-37.0025,-0.298749999999998
"River Lapwing",0,127,107.6,140.4275,110.8,106.8225,112,16.575,-3.44624999999999,30.4
"Great Barbet",2,440,419.0975,488.70375,312,241.5,402.51375,128,41.995,208.715
"Orange-bellied Leafbird",2,355.4,307.75,431.01125,205,142.58875,269.26125,149.675,56.4975,261.65875
