"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Eurasian Tree Sparrow",1,139,139,173.415,398.525,206.13875,647.805,-252.3,-508.405,-58.86875
"Large-billed Crow",0,150.7,139,185.635,221.025,142,506.14875,-62.425,-348.765,28.6
"Plumbeous Redstart",2,916.7,734,1217.1475,254.8,182,343.8,675.825,462.03375,969.5325
"White-capped Redstart",2,1059.6,948.6,1795.62,248.5,176.2475,339.985,811.55,633.485,1524.5025
"Ashy-throated Warbler",2,1705.75,1113,1815.5,882.6,785.4,1178.7,746.65,219.4,980.3
"Fire-breasted Flowerpecker",0,640,493.38125,906.99875,695.2,493.7,889.93375,-8.64999999999992,-275.36125,311.131249999999
"Green-backed Tit",2,1020.75,995.4,1113.965,884.4,820.38,977.98875,126.275,34.0475,248.11625
"Indian White-eye",0,200,177.4775,356.54125,189.475,140.5,323.635,25.775,-122.62875,188.10375
"Chestnut-tailed Minla",0,1643.75,1086.79,1739,1304.8,1251.76,1531.82,316.5,-241.39,477
"Green-tailed Sunbird",2,1739,1675.57625,1739,882.675,590.57875,998.405,852.85,734.8875,1145.2
"Rufous-vented Yuhina",2,1739,1739,1739,847.15,845.3925,848.9075,891.85,890.0925,893.6075
"Blue-throated Barbet",1,46.3,44,75,110,86.5425,125,-63.05,-79,-29.5975
"Bronzed Drongo",0,199,139.75,317.72,141.8,125,209.4375,58.8,-11.55,173.6575
"Chestnut-bellied Nuthatch",2,257.15,182.735,343.695,142,121.085,184.2175,114.95,16.3975,195.41375
"Maroon Oriole",2,508.55,401.0875,674.405,126,103.235,142,374.8,269.0525,546.6975
"Rusty-fronted Barwing",2,1102.3,1102.3,1102.3,489,489,489,613.3,613.3,613.3
"Streaked Spiderhunter",2,399,257.8,512,142,125,142,261.75,119.37,372.4525
"Blue Whistling-Thrush",2,694.8,655.2125,858.45125,412.525,310.785,502.41,288.7,173.965,462.4825
"White-throated Kingfisher",0,44,44,51.895,69.675,45.30875,93.6,-24.825,-48.79,0.641250000000004
"Great Barbet",0,444.9,415.74125,511.5,331,242.3875,463,116,-22.8,222.98875
