"Species","Group","Median_S","LCI_S","UCI_S","Median_W","LCI_W","UCI_W","Median_diff","LCI_diff","UCI_diff"
"Black Redstart",2,3047.6,2989.6825,3080.75125,272,271.795,272,2775.8,2717.6825,2808.80125
"Common Myna",0,272,272,272,272,272,272,0,0,0
"Crimson Sunbird",2,326,326,326,321,313,321,5,5,13
"Gray Bushchat",2,1264,1255,1309,326,321,347.65625,938,915.98,987.60375
"Gray-hooded Warbler",2,1162.775,1125.3,1171,438,421.29875,441,724,685.3975,742.2575
"Himalayan Bulbul",2,519.925,458.9475,558.25375,385,372,388,136,75.5487500000003,173.25875
"House Sparrow",0,272,272,272,272,272,272,0,0,0
"Large-billed Crow",0,326,314,338.7025,315.45,299.9475,326,9.89999999999998,-7.90249999999998,29.5175
"Red-vented Bulbul",0,272,272,272,272,272,272,0,0,0
"Rufous Treepie",0,272,271,272,272,272,272,0,-1,0
"Russet Sparrow",2,1074.3,1035,1121.2,968.65,932,1025,99.9,24.9875,162
"Yellow-billed Blue-Magpie",2,1157,1143,1218.3025,989,932,1046.63,180.7,108.4,251.6275
"Blue Whistling-Thrush",2,1089,1056,1134,388,382.395,388,701,668,746
"Eurasian Jackdaw",0,1579,1575.8,1580,1579,1578.59875,1580.3,0,-3.45125000000004,1
"European Goldfinch",2,1582,1582,1582,861,647.19375,919.05,721,662.95,934.80625
"House Crow",0,264,262,271.95125,262,262,266,2,-2,9
"Rose-ringed Parakeet",0,272,272,272,272,272,272,0,0,0
"Streaked Laughingthrush",2,1248,1235.97875,1268.05375,1134,1102.585,1183,114,65,149.15375
"Bar-tailed Treecreeper",2,1332,1332,1332,602,591,602,730,730,741
"Coal Tit",0,1526.8,1456.60875,1587.85125,1437.7,1394.2,1539.6,76.5000000000001,-41.205,180.175
"Plain Mountain Finch",2,2068.2,2011.09125,2470.575,1576.75,1514,1598.7575,504.25,429.59875,903.1075
"Rock Bunting",2,1592.15,1583,1705.085,1043.75,932,1094,559.75,491.14625,682
"Yellow-breasted Greenfinch",2,1369,1369,1448,310.75,272,517.485,1070,866.89,1156.47
"Plumbeous Redstart",2,1190.25,1134,1254,363,358.8,368,826.725,768,891
"Black Bulbul",2,1035,987.385,1064,388.55,372,422.1,636.05,592.3675,677.005
"Cinereous Tit",2,409,409,420.45875,380.05,368,388,30.3,21,41
"Green-backed Tit",2,1365,1365,1369,1321.65,1297.725,1332,45.175,33,69.8599999999999
"Oriental Turtle-Dove",2,666,618.55,827,308.5,272.8,388,365.1,278,523.83125
"Common Rosefinch",2,1054.2,827,1270.51875,429.925,381.2,595.4525,618.25,329.525,849.815
"Great Barbet",2,1093,1052.37375,1141.5,797.85,761,885.87375,293.925,203.39625,365
"Ashy Drongo",2,924.85,869.7925,1011,272,272,272,652.85,597.7925,739
"Gray-winged Blackbird",2,1332,1332,1365,439.125,386.94125,524.22,901.25,818,960
"White-capped Redstart",2,1220.7,1187.73125,1306.6,372,368,385,848.6,810.7475,933.47
"Spotted Dove",0,272,272,272,272,272,272,0,0,0
"Black-headed Jay",0,1332,1332,1340.55,1262,1181.45,1332,70.5,0,152.0125
"Gray-headed Canary-Flycatcher",2,1332,1332,1332,326,321,352.4025,1006,979.5975,1011
"Indian White-eye",0,272,272,272,272,272,272,0,0,0
"Rock Pigeon",0,272,272,272,272,266.1475,272,0,0,5.60125000000002
"Scaly-bellied Woodpecker",0,1237,1235.9,1254.5,1171.3,1090.4,1255,62.05,-18,148.75
"Spotted Forktail",2,1332,1308.05,1337.2325,906.6,816.495,1014.5025,420.9,304.73,510.85375
"Black Drongo",2,272,272,272,262,255.39625,262.95125,10,9,16.60375
"White-throated Kingfisher",0,271,262,272,262,255.25,262,9.32500000000002,0,15.80125
"Black-throated Tit",2,1332,1332,1346,1255,1248,1303.45,77.1750000000001,38,98
"Variegated Laughingthrush",1,1382.75,1369,1464.9,1534,1498.4,1556.2225,-144.5,-174.3675,-55.7
"Eurasian Jay",2,1730.65,1618.05,1786.4,1542,1523,1574.00125,180.275,65.24625,243.27875
"Gray-headed Woodpecker",0,591,552.195,602,591,581.99375,602,0,-39.6049999999999,12.1512499999999
"Himalayan Woodpecker",0,1531.2,1475.75,1542,1542,1433.74375,1542,-3.75,-64.45,97.6137500000001
"Crested Kingfisher",0,365.75,335.7,373.86,336.5,314.5975,363,26,-17.59875,53
"Jungle Babbler",0,272,272,272,272,272,272,0,0,0
"Jungle Myna",2,450.175,414.8275,584,269.625,245,303.5125,185.525,136.03875,312.055
"Oriental Magpie-Robin",0,279,272,285.80625,272,272,272,7,0,13.80625
"Red-wattled Lapwing",2,272,266.7475,272,262,262,262.8,10,4.7475,10
"Lemon-rumped Warbler",2,1172,876.1125,1369,565.5,479.3725,591,601.1,311.18875,866.245
"Blue-throated Barbet",2,560,443,601,414.85,381.9875,440.5,138.3,22.37875,194.015
"Brownish-flanked Bush Warbler",2,1611.75,1587,1687.05125,608.85,477,905.77875,1003,707.14,1157.5125
"Common Tailorbird",0,272,272,272,272,272,272,0,0,0
"Plum-headed Parakeet",0,272,272,279,272,272,272,0,0,7
"Black-chinned Babbler",1,386,386,388,536.5,438,591,-149.8,-205,-52
"Brown-fronted Woodpecker",2,1237,1064,1237,1011.275,932,1073,187.3,22.745,305
"Chestnut-bellied Nuthatch",0,416.05,388,446,379.25,335.335,388,36.85,0,90.0775
"Himalayan Prinia",2,1003.3,920.57,1050,861,832.73125,926.16125,135.625,48.3950000000001,194.25
"Kalij Pheasant",0,775,637.1175,791,761,666,772.8075,10.6,-124,109
"Red-billed Leiothrix",0,666,666,701.4075,666,654,725,0,-61.41625,48.6924999999999
"Rufous Sibia",2,1584.55,1570,1638.00875,969.775,919,1072.84875,621.8,512.05,698
"Slaty-blue Flycatcher",2,1587,1584.9,1587,388,375.5375,403,1199,1184,1212.3325
"Eurasian Hoopoe",2,323.4,321,382.205,258.85,248.995,263,67.575,59,125.01375
"Slaty-headed Parakeet",2,931.45,827,1035,442.5,399,529.40875,504.3,360.2925,612
"Long-tailed Minivet",2,1241.325,1157,1271,358.9,311.19,383.81125,888.25,794.1925,954.2175
"Eurasian Collared-Dove",2,272,272,272,262,254.795,262,10,10,17.205
"Long-tailed Shrike",2,584,545.695,589.85375,272,272,272,312,273.695,318.4525
"Greenish Warbler",2,410.6,320.24375,602,272,265.7,272,139.25,48.5,330
"Siberian Stonechat",2,1141.25,1093,1164,256.9,245,262,888.5,834,912
"White-capped Bunting",2,1130.95,1071.3,1342.65,437.2,414.18,475.58,696,628.0975,897.7875
"Baya Weaver",0,245.5,245,272,262.5,262,272,-17,-26.505,10
"Pied Bushchat",2,272,262,272,246,245,262,21.475,3.14624999999998,27
"Gray-breasted Prinia",0,272,272,272,272,272,272,0,0,0
"Paddyfield Pipit",0,244.1,244,245,245,242.4625,249.8,-0.825000000000003,-5.0125,2.09999999999997
